"","case_enquiry_id","open_dt","target_dt","closed_dt","ontime","case_status","closure_reason","case_title","subject","reason","type","queue","department","submittedphoto","closedphoto","location","fire_district","pwd_district","city_council_district","police_district","neighborhood","neighborhood_services_district","ward","precinct","location_street_name","location_zipcode","latitude","longitude","source"
"1",101003192010,2020-02-11 09:43:00,"2020-05-11 09:43:41","","OVERDUE","Open"," ","Cross Metering - Sub-Metering","Inspectional Services","Housing","Cross Metering - Sub-Metering","ISD_Housing (INTERNAL)","ISD","","","103 Townsend St  Dorchester  MA  02121",9,"10B",7,"B2","Roxbury",13,"Ward 12","1208","103 Townsend St",2121,42.3179,-71.0903,"Constituent Call"
"2",101003259204,2020-04-20 17:56:25,"2020-04-22 08:30:00","2020-04-21 04:24:17","ONTIME","Closed","Case Closed. Closed date : 2020-04-21 04:24:17.1 Case Noted ","Parking Enforcement","Transportation - Traffic Division","Enforcement & Abandoned Vehicles","Parking Enforcement","BTDT_Parking Enforcement","BTDT","https://311.boston.gov/media/boston/report/photos/5e9e1a7875059cbdec235b89/photo_20200420_175603.jpg","","INTERSECTION of Green St & Bartlett St  Charlestown  MA  ",3,"1A",1,"A15","Charlestown",2,"2","0203","INTERSECTION Green St & Bartlett St",NA,42.3594,-71.0587,"Citizens Connect App"
"3",101003191659,2020-02-10 19:03:58,"2020-02-13 08:30:00","2020-02-11 06:20:50","ONTIME","Closed","Case Closed. Closed date : 2020-02-11 06:20:50.9 Case Noted duplicate case address will be inspected  ","Improper Storage of Trash (Barrels)","Public Works Department","Code Enforcement","Improper Storage of Trash (Barrels)","PWDx_Code Enforcement","PWDx","https://311.boston.gov/media/boston/report/photos/5e41ef627505dbb1e2ed87d1/photo_20200210_190333.jpg","","INTERSECTION of Vale St & Vale Ct  Roxbury  MA  ",9,"10B",9,"B2","Roxbury",13,"11","1102","INTERSECTION Vale St & Vale Ct",NA,42.3594,-71.0587,"Citizens Connect App"
"4",101003203578,2020-02-26 13:36:00,"2020-03-11 13:36:03","2020-09-12 12:07:14","OVERDUE","Closed","Case Closed. Closed date : Sat Sep 12 12:07:14 EDT 2020 Resolved Replaced missing colonial gas fixture  all new glass  burner and three mantles as needed. No gas service. Will notify National Grid to turn gas on.  HT  TH.  ","Street Light Outages//gas colonial","Public Works Department","Street Lights","Street Light Outages","PWDx_Street Light Outages","PWDx","https://311.boston.gov/media/boston/report/photos/5e56ba85750589610613d38c/report.jpg","","14 Temple St  Boston  MA  02114",3,"1B",1,"A1","Beacon Hill",3,"03","0306","14 Temple St",2114,42.361,-71.0636,"Citizens Connect App"
"5",101003209951,2020-03-05 10:52:00,"2020-03-06 10:52:01","2020-03-06 09:48:48","ONTIME","Closed","Case Closed. Closed date : 2020-03-06 09:48:48.193 Case Resolved Repaired damaged #10 wires and broken conduit. HT WL  ","PRINTED : ","Public Works Department","Street Lights","Street Light Knock Downs","PWDx_Street Light Knock Downs","PWDx","","","64 Bradshaw St  Dorchester  MA  02121",7,"03",4,"B3","Greater Mattapan",8,"Ward 14","1407","64 Bradshaw St",2121,42.2981,-71.0837,"Constituent Call"
"6",101003185434,2020-02-03 07:32:02,"2020-02-04 08:30:00","2020-02-03 07:32:03","ONTIME","Closed","Case Closed. Closed date : 2020-02-03 07:32:03.813 Case Resolved Marked completed at case creation ","Request for Pothole Repair","Public Works Department","Highway Maintenance","Request for Pothole Repair","PWDx_District 03: North Dorchester","PWDx"," https://cityworker.cityofboston.gov:8443/attachments/report/5e3812bee7f9a26d70acfdfb/photo/Report.jpg","","INTERSECTION of Buttonwood St & Grafton St  Dorchester  MA  ",7,"03",3,"C11","Dorchester",7,"13","1307","INTERSECTION Buttonwood St & Grafton St",NA,42.3594,-71.0587,"City Worker App"
"7",101003255440,2020-04-14 14:53:18,"2021-04-14 14:53:18","2020-10-27 11:50:31","ONTIME","Closed","Case Closed. Closed date : Tue Oct 27 11:50:31 EDT 2020 Resolved Tree has been planted.  ","New Tree Requests","Parks & Recreation Department","Trees","New Tree Requests","PARK_New Tree Requests","PARK","","","123 Clement Ave  West Roxbury  MA  02132",12,"06",6,"E5","West Roxbury",12,"Ward 20","2011","123 Clement Ave",2132,42.2847,-71.1536,"Citizens Connect App"
"8",101003197412,2020-02-19 07:22:00,"2020-02-20 07:22:16","2020-02-19 07:41:10","ONTIME","Closed","Case Closed. Closed date : 2020-02-19 07:41:10.223 Duplicate of Existing Case Work on problem . ","Traffic Signal Inspection","Transportation - Traffic Division","Signs & Signals","Traffic Signal Inspection","BTDT_Traffic Signal_Repair","BTDT","","","115 Southampton St  Roxbury  MA  02118",6,"1C",7,"C6","Roxbury",13,"08","0806","115 Southampton St",2118,42.3317,-71.0695,"Constituent Call"
"9",101003192091,2020-02-11 11:04:29,"2020-06-10 11:04:28","","OVERDUE","Open"," ","Unsatisfactory Living Conditions","Inspectional Services","Housing","Unsatisfactory Living Conditions","ISD_Housing (INTERNAL)","ISD","","","391 Meridian St  East Boston  MA  02128",1,"09",1,"A7","East Boston",1,"Ward 1","0108","391 Meridian St",2128,42.3799,-71.039,"Constituent Call"
"10",101003262337,2020-04-25 12:31:16,"","2020-04-25 13:37:50","ONTIME","Closed","Case Closed. Closed date : 2020-04-25 13:37:50.393 Case Resolved One needle was removed from this location AG  ","Needle Pickup","Mayor's 24 Hour Hotline","Needle Program","Needle Pickup","GEN_Needle_Pickup","GEN_","https://311.boston.gov/media/boston/report/photos/5ea465cb750591e755d493ae/report.jpg","","30 E Cottage St  Roxbury  MA  02119",7,"03",7,"B2","Roxbury",13,"Ward 8","0805","30 E Cottage St",2119,42.3217,-71.0698,"Citizens Connect App"
